player_id,Name,Season,WAR,G,PA,HR,R,RBI,SB,AVG,OBP,SLG,OPS,avg_exit_velocity,avg_launch_angle,barrel_pct,hard_hit_pct,avg_WAR_career
11579,Bryce Harper,2024,5.1,145,631,30,85,87,7,0.285,0.373,0.525,0.898,83.61172707889125,17.464399574920296,,0.0921693518171599,5.1
15986,Willy Adames,2024,4.9,161,688,32,93,112,21,0.251,0.331,0.462,0.794,83.0706783369803,22.30634573304157,,0.0721544715447154,4.9
10324,Marcell Ozuna,2024,4.7,162,688,39,96,104,1,0.302,0.378,0.546,0.925,85.01079865016874,18.60942760942761,,0.0920964501004688,4.7
13624,Corey Seager,2024,4.6,123,533,30,68,74,1,0.278,0.353,0.512,0.864,84.64876712328767,18.964383561643835,,0.1144674085850556,4.6
13611,Mookie Betts,2024,4.3,116,516,19,75,75,16,0.289,0.372,0.491,0.863,83.6544642857143,23.823979591836736,,0.0816925010473397,4.3
10815,Jurickson Profar,2024,4.3,158,668,24,94,85,10,0.28,0.38,0.459,0.839,84.28045186640472,17.439646712463198,,0.0926946933149552,4.3
17350,Rafael Devers,2024,4.2,138,601,28,87,83,3,0.272,0.354,0.516,0.871,85.41916243654823,19.624365482233504,,0.0960768614891913,4.2
24610,Steven Kwan,2024,4.2,122,540,14,83,44,12,0.292,0.368,0.425,0.793,81.15734939759037,20.89530685920577,,0.0537678207739307,4.2
25878,Corbin Carroll,2024,4.2,158,684,22,121,74,35,0.231,0.322,0.428,0.749,83.19504132231407,15.375,,0.0813124108416547,4.2
18314,Dansby Swanson,2024,4.2,149,593,16,82,66,19,0.242,0.312,0.39,0.701,83.17652399481192,13.243839169909208,,0.0736418511066398,4.2
12533,Marcus Semien,2024,4.2,159,718,23,101,74,8,0.237,0.308,0.391,0.699,82.43531187122737,19.163654618473892,,0.084,4.2
17678,Alex Bregman,2024,4.1,145,634,26,79,75,3,0.26,0.315,0.453,0.768,83.90744336569578,22.36598493003229,,0.099725166862976,4.1
25976,Riley Greene,2024,4.0,137,584,24,82,74,4,0.262,0.348,0.479,0.827,83.29162561576354,16.072660098522167,,0.0775450202131569,4.0
28806,Jackson Chourio,2024,4.0,148,573,21,80,79,22,0.275,0.327,0.464,0.791,84.19536784741145,14.053061224489795,,0.0920086393088552,4.0
20454,Jazz Chisholm Jr.,2024,4.0,147,621,24,74,73,40,0.256,0.324,0.436,0.76,83.13199079401612,13.28078250863061,,0.0777003484320557,4.0
23697,Julio Rodriguez,2024,4.0,143,613,20,76,68,24,0.273,0.325,0.409,0.734,84.27630952380953,15.907253269916763,,0.0942639390292819,4.0
5361,Freddie Freeman,2024,3.9,147,638,22,81,89,9,0.282,0.378,0.476,0.854,83.21513982642237,17.409047160731472,,0.0917496443812233,3.9
5417,Jose Altuve,2024,3.9,153,682,20,94,65,22,0.295,0.35,0.439,0.79,80.94414893617021,14.57643312101911,,0.0733410942956926,3.9
29591,Colton Cowser,2024,3.9,153,561,24,77,69,9,0.242,0.321,0.447,0.768,83.74220314735337,17.532857142857143,,0.0697105584997961,3.9
21479,Nico Hoerner,2024,3.9,151,641,7,86,48,31,0.273,0.335,0.373,0.708,80.87367864693447,16.12038014783527,,0.0622222222222222,3.9
16252,Trea Turner,2024,3.8,121,539,21,88,62,19,0.295,0.338,0.469,0.807,83.18151774785801,15.147921760391196,,0.0944812362030905,3.8
12552,Eugenio Suarez,2024,3.8,158,640,30,90,101,2,0.256,0.319,0.469,0.788,83.07413173652694,18.97610513739546,,0.0778688524590164,3.8
25479,Brenton Doyle,2024,3.7,149,603,23,82,72,30,0.26,0.317,0.446,0.764,82.33505291005291,16.68428005284016,,0.0790738313674093,3.7
24064,Ezequiel Tovar,2024,3.7,157,695,26,83,78,6,0.269,0.295,0.469,0.763,81.37339999999999,22.295409181636728,,0.0828001505457282,3.7
27479,Masyn Winn,2024,3.6,150,637,15,85,57,11,0.267,0.314,0.416,0.73,80.09561027837258,18.840471092077088,,0.072700296735905,3.6
30116,Seiya Suzuki,2024,3.5,132,585,21,74,73,16,0.283,0.366,0.482,0.848,83.42782485875705,22.320169252468265,,0.071482602118003,3.5
11493,Manny Machado,2024,3.5,152,643,29,77,105,11,0.275,0.325,0.472,0.797,85.64012738853503,21.258474576271187,,0.1119402985074626,3.5
17919,Ian Happ,2024,3.5,153,657,25,89,86,13,0.243,0.341,0.441,0.782,83.47747641509433,19.954009433962263,,0.0792792792792792,3.5
21711,Oneil Cruz,2024,3.5,146,599,21,72,76,22,0.259,0.324,0.449,0.773,86.54134078212289,13.415277777777778,,0.0947533281127643,3.5
31347,Zach Neto,2024,3.5,155,602,23,70,77,30,0.249,0.318,0.443,0.761,83.04221364221364,12.77992277992278,,0.0851419031719532,3.5
27647,Anthony Volpe,2024,3.5,160,689,12,90,60,28,0.243,0.293,0.364,0.657,81.98726765799256,15.907992565055762,,0.0703439727300898,3.5
